,Network,Station,Latitudes,Longitudes,Start Date,End Date
0,UW,ASR,46.15259,-121.60164,1982-09-01T00:00:00.000000Z,2023-05-16T00:00:00.000000Z
1,UW,AUG,45.73595,-121.68174,1981-10-01T00:00:00.000000Z,Current
2,UW,BULL,45.44589,-122.15589,2003-02-25T00:00:00.000000Z,Current
3,UW,CDF,46.11712,-122.04625,1980-03-29T00:00:00.000000Z,Current
4,UW,COLT,45.17044,-122.438152,2002-09-11T00:00:00.000000Z,Current
5,UW,EDM,46.19717,-122.15121,1980-06-01T00:00:00.000000Z,Current
6,UW,ELK,46.30597,-122.34167,1980-05-16T00:00:00.000000Z,Current
7,UW,ELL,46.909512,-120.567513,1979-11-24T00:00:00.000000Z,Current
8,UW,FL2,46.19622,-122.351486,1984-08-03T00:00:00.000000Z,Current
9,UW,FMW,46.941914,-121.671463,1972-09-01T00:00:00.000000Z,Current
10,UW,GHW,47.041489,-122.273727,1975-08-13T00:00:00.000000Z,Current
11,UW,GLDO,45.838779,-120.814789,2011-08-05T00:00:00.000000Z,2019-11-08T00:00:00.000000Z
12,UW,GLK,46.557499,-121.610733,1973-01-01T00:00:00.000000Z,Current
13,UW,GSM,47.20388,-121.796043,1970-06-01T00:00:00.000000Z,Current
14,UW,GUL,45.924011,-121.596748,1986-07-31T00:00:00.000000Z,2017-07-27T00:00:00.000000Z
15,UW,HOOD,45.322262,-121.650932,2002-11-05T00:00:00.000000Z,Current
16,UW,HSR,46.17428,-122.18065,1985-08-12T00:00:00.000000Z,Current
17,UW,JUN,46.14706,-122.152428,1980-05-08T00:00:00.000000Z,Current
18,UW,KENT,45.235699,-120.635101,2009-01-08T00:00:00.000000Z,Current
19,UW,KOS,46.462799,-122.196022,1981-05-07T00:00:00.000000Z,2019-09-05T00:00:00.000000Z
20,UW,KREP,45.8852,-121.4597,2017-08-31T00:00:00.000000Z,Current
21,UW,LCCR,45.2059,-122.4784,2005-11-09T00:00:00.000000Z,Current
22,UW,LO2,46.750599,-121.809601,1988-03-17T00:00:00.000000Z,Current
23,UW,LON,46.750599,-121.809601,1964-03-30T00:00:00.000000Z,Current
24,UW,LVP,46.065948,-122.401932,1980-04-01T00:00:00.000000Z,Current
25,UW,MANO,46.951105,-120.724695,2017-09-28T00:00:00.000000Z,Current
26,UW,MAUP,45.1762,-121.07912,2009-09-23T00:00:00.000000Z,Current
27,UW,MORO,45.474312,-120.741829,2011-04-21T00:00:00.000000Z,Current
28,UW,MTM,46.02533,-122.212868,1980-03-27T00:00:00.000000Z,Current
29,UW,NAC,46.733009,-120.824852,1973-01-01T00:00:00.000000Z,Current
30,UW,PAYL,47.19284,-122.31303,2001-07-01T00:00:00.000000Z,Current
31,UW,PCEP,47.1114,-122.29122,2000-08-02T00:00:00.000000Z,Current
32,UW,PCFR,46.990547,-122.442787,2000-08-01T00:00:00.000000Z,Current
33,UW,PGO,45.461681,-122.454399,1982-06-27T00:00:00.000000Z,2019-08-24T00:00:00.000000Z
34,UW,QDNP,47.16575,-122.27041,2016-11-29T00:00:00.000000Z,Current
35,UW,QFFG,47.24414,-122.35802,2010-10-15T00:00:00.000000Z,2016-05-19T00:00:00.000000Z
36,UW,QGLD,46.64435,-120.582741,2010-04-01T00:00:00.000000Z,2017-07-04T00:00:00.000000Z
37,UW,QSAL,45.51522,-122.49525,2012-03-09T00:00:00.000000Z,Current
